,Name,ID
831,Pescosolido S.,712
832,Cermak F.,735
833,Djokovic M.,1018
834,Gomez-Herrera C.,1051
835,Krawietz K.,734
836,Silva F.,1052
837,Stricker D.,664
838,Topo M.,1056
839,Summerer T.,1058
840,Mertinak M.,666
841,Zimonjic N.,1059
842,Landaluce M.,1062
843,Sanchez De Luna J.,1043
844,Trinker B.,773
845,Medjedovic H.,757
846,Moraing M.,670
847,Krstin P.,669
848,Napolitano S.,710
849,Basso A.,1068
850,Serdarusic N.,768
851,Voltchkov V.,672
852,Elseneer G.,674
853,Jeanpierre J.,675
854,Kohlmann M.,676
855,Wang Y.,937
856,Popp T.,1070
857,Azzaro L.,1050
858,Dolgopolov A.,1071
859,Montcourt M.,677
860,Eitzinger R.,770
861,Mina G.,699
862,Donati M.,680
863,Couacaud E.,433
864,Bourgue M.,709
865,Nikles J.,681
866,Roca Batalla O.,1072
867,Lopez San Martin A.,1073
868,Tuksar S.,1075
869,Tenconi T.,1076
870,Eysseric J.,1077
871,Lopez-Jaen M.A.,685
872,Marrero D.,540
873,Schoorel T.,687
874,Janvier M.,1034
875,Forejtek J.,689
876,Guinard M.,690
877,Mpetshi G.,840
878,Tirante T.A.,691
879,Marray J.,693
880,Delgado J.,694
881,Ancic I.,695
882,Qureshi A.,696
883,Lipsky S.,1080
884,Dasnieres de Veigy J.,739
885,Lokoli L.,931
886,Hamou M.,1081
887,Samper-Montana J.,1082
888,de Loore J.,1084
889,Rodriguez Taverna S.,1085
890,Tseng C. H.,795
891,Kolar Z.,704
892,Lee M.,723
893,Bloomfield R.,721
894,Baker J.,705
895,Bogdanovic A.,706
896,Goodall J.,1086
897,Golding O.,1088
898,van Rijthoven T.,281
899,Childs L.,1091
900,Parmar A.,601
901,Skoch D.,1096
902,Emmrich M.,1097
903,Fleming C.,1098
904,Kirillov E.,1100
905,Corrie E.,1101
906,Cox D.,1087
907,Dustov F.,1064
908,Clarke J.,748
909,Wessels L.,761
910,Boutter J.,1063
911,Sa A.,585
912,Hilton M.,713
913,Dell'Acqua M.,715
914,Kontinen H.,717
915,Choinski J.,742
916,Galovic V.,786
917,Squire H.,1104
918,Peniston R.,718
919,Verdasco M.,719
920,Sherwood D.,720
921,Draper S.,919
922,Guccione A.,724
923,Alcaide G.,1105
924,Niland C.,1107
925,Pospisil J.,961
926,Duclos P.L.,1108
927,Masur D.,788
928,Jubb P.,1109
929,Rosset M.,598
930,Knittel B.,759
931,Puetz T.,733
932,Aragone JC,1114
933,Vicente M.,1115
934,Goransson T.,1116
935,Eleskovic E.,738
936,Ryderstedt M.,737
937,Lindell C.,740
938,Eriksson M.,1117
939,Ward A.,1118
940,Horansky F.,701
941,Shimabukuro S.,796
942,Mergea F.,1121
943,Whitehouse W.,758
944,Kern R.,1124
945,Bossel A.,1125
946,Thompson C.,1126
947,Willis M.,746
948,Madaras D.,1127
949,Misolic F.,750
950,Borg L.,751
951,Jun W.S.,771
952,Qureshi A.U.H.,752
953,Simmonds P.,1128
954,Langer N.,753
955,Marti Y.,754
956,Davydenko P.,755
957,Desein N.,1060
958,Arvidsson I.,1129
959,Soderlund C.,756
960,Trusendi W.,1135
961,Salamanca C.,1136
962,Barrientos N.,1137
963,Struvay E.,1138
964,Moeller M.,1139
965,Gray A.,749
966,Lopez Villasenor G.,997
967,Quinn E.,762
968,Matsukevitch D.,857
969,Demoliner M.,765
970,Gomez A.,766
971,Santillan A.,767
972,Torebko P.,1146
973,Ajdukovic D.,769
974,Hipfl M.,1150
975,Sandbichler A.,1151
976,O'Neal J.,1152
977,Zekic M.,794
978,Gromley C.,1156
979,Bryde T.,1157
980,Krajan Z.,776
981,di Pasquale A.,791
982,Hadad A.,777
983,Oswald P.,783
984,De Paula F.,1158
985,Baldi F.,1054
986,Neumayer L.,1160
987,Erler A.,779
988,De Jong J.,434
989,Piros Z.,781
990,Niemeyer F.,574
991,Ianni S.,782
992,Piccari F.,1164
993,Westerhof B.,1166
994,Topic J.,1167
995,Cacic N.,784
996,Dutra Da Silva D.,1170
997,Sachko V.,882
998,Casanova H.,1171
999,Fyrstenberg M.,1173
1000,Sitak A.,906
1001,Meister N.,1175
1002,Setkic A.,1049
1003,Hernandez-Fernandez J.,1176
1004,Agamenone F.,789
1005,Zhukayev B.,833
1006,Dev Varman S.,1181
1007,Villanueva G.,1183
1008,Bester P.,1184
1009,King E.,798
1010,Hippensteel K.,1190
1011,Lojda D.,1192
1012,Buchanan C.,1193
1013,Hank T.,1008
1014,Bangoura S.,1195
1015,Ketola T.,800
1016,Ram A.,801
1017,Mathieu P.,1067
1018,Gregorc L.,802
1019,Jouan R.,825
1020,Mcclune M.,803
1021,Kumar O.,804
1022,Galimberti G.,805
1023,Echagaray B.,994
1024,Moriya H.,823
1025,Authom M.,930
1026,Altamirano C.,1202
1027,Monteiro J.,1203
1028,Sarmiento R.,1204
1029,Popko D.,1065
1030,Tien L.,1205
1031,Droguet T.,810
1032,Virtanen O.,1132
1033,Wang Y. Jr,1209
1034,Iwabuchi S.,843
1035,Yu X.Y.,1210
1036,Zeng S.X.,1207
1037,Cruciat A.,812
1038,Deheart R.,983
1039,Rodrigues M.,813
1040,Reix C.,815
1041,Kohlschreiber P..,816
1042,Shane R.,1212
1043,Satral J.,817
1044,Holmgren A.,1214
1045,Kachmazov A.,828
1046,Cui J.,1216
1047,Sekulic P.,818
1048,Ionita V.,1162
1049,Si Y.M.,1219
1050,Betov S.,1222
1051,Biryukov M.,1225
1052,Elgin M.,854
1053,Burquier G.,1227
1054,Aragone J.,1145
1055,Safranek V.,932
1056,Lenz J.,1169
1057,Furness E.,1229
1058,Li Zh.,1230
1059,Savolt A.,1233
1060,Wassen R.,1234
1061,Thomann N.,1120
1062,Xu J.C.,1236
1063,Sun P.,1211
1064,Bai Y.,831
1065,Gong M.X.,1237
1066,Siriluethaiwattana P.,1238
1067,Trongcharoenchaikul W.,1239
1068,Jeong S.Y.,1240
1069,Ouyang B.,1241
1070,Shyla Y.,1242
1071,Wagh A.,1244
1072,Motomura G.,841
1073,Auckland J.,824
1074,Chen T.,1245
1075,Li Z.,933
1076,Singh S.,1247
1077,Miedler L.,1177
1078,Hong S.,1249
1079,Uchida K.,827
1080,Kondo H.,1251
1081,Ito Y.,1252
1082,Slanar M.,830
1083,Herbert P-H.,1253
1084,Niki T.,1254
1085,Zhang Ze,837
1086,Bu Y.,1256
1087,Te R.,1257
1088,Hsu Y.,811
1089,Clemens T.,835
1090,Nam H.W.,1235
1091,Oliel Y.,1260
1092,Leshem E.,838
1093,Lajal M.,839
1094,Baluda V.,1263
1095,Friberg K.,1264
1096,Hassan B.,1265
1097,Schuttler P.,1266
1098,Rieschick S.,847
1099,Zhang Ze.,1255
1100,Noguchi R.,848
1101,Shimizu Y.,1269
1102,Fish A.,1271
1103,Nedelko I.,1272
1104,Rosenholm P.,849
1105,Durasovic V.,910
1106,Maestrelli F.,1274
1107,Gruber K.,1275
1108,Youzhny A.,1276
1109,Geerts M.,1280
1110,Martineau M.,1281
1111,Valkusz M.,853
1112,Lejnieks K.,855
1113,Harris B.,856
1114,Davletshin V.,1283
1115,Robredo R.,858
1116,Vardhan V.,871
1117,Nedunchezhiyan J.,873
1118,Sultan-Khalfan A.,886
1119,de Heart R.,806
1120,Sabry S.,890
1121,Zayed M. S.,891
1122,Hossam K.,892
1123,Schoolkate T.,896
1124,Walton A.,897
1125,Jun W.,901
1126,Statham R.,902
1127,Tearney F.,905
1128,Svrcina D.,431
1129,March O.,920
1130,Widom T.,938
1131,Wolmarans F.,524
1132,Scholtz N.,940
1133,Artunedo Martinavarro A.,941
1134,Krall L.,943
1135,Friedl L.,537
1136,Mazarakis V.,945
1137,Saavedra Corvalan C.,949
1138,Velotti A.,953
1139,Miranda I.,959
1140,Bowles C.,960
1141,Mesaros K.,963
1142,Veger F.,965
1143,Lazov A.,967
1144,Chakravarthi C.,973
1145,Pecotic M.,571
1146,Lajola D.,976
1147,Strode B.,977
1148,Zayid M.,979
1149,Oudsema S.,980
1150,Britton D.,982
1151,Borvanov R.,984
1152,Galdon P.,989
1153,Molteni A.,990
1154,Gallardo Valles M.,1004
1155,Cabal J.S.,1006
1156,Patino L.,1009
1157,Nader M.,1015
1158,Mcgee J.,1019
1159,Luz O.,1021
