,Tournament,Tournament_ID
659,Chennai Open,9
660,Chennai Open,9
661,Chennai Open,9
662,Chennai Open,9
663,Chennai Open,9
664,Chennai Open,9
665,Chennai Open,9
666,Chennai Open,9
667,Chennai Open,9
668,Chennai Open,9
669,Chennai Open,9
670,Chennai Open,9
671,Chennai Open,9
672,Chennai Open,9
673,Chennai Open,9
674,Chennai Open,9
675,Chennai Open,9
676,Chennai Open,9
677,Chennai Open,9
678,Chennai Open,9
679,Chennai Open,9
680,Chennai Open,9
681,Chennai Open,9
682,Chennai Open,9
683,Chennai Open,9
684,Chennai Open,9
685,Chennai Open,9
686,Chennai Open,9
687,Chennai Open,9
688,Chennai Open,9
689,Chennai Open,9
690,Chennai Open,9
691,Chennai Open,9
692,Chennai Open,9
693,Chennai Open,9
694,Chennai Open,9
695,Chennai Open,9
696,Chennai Open,9
697,Chennai Open,9
698,Chennai Open,9
699,Chennai Open,9
700,Chennai Open,9
701,Chennai Open,9
702,Chennai Open,9
703,Chennai Open,9
704,Chennai Open,9
705,Chennai Open,9
706,Chennai Open,9
707,Chennai Open,9
708,Chennai Open,9
709,Chennai Open,9
710,Chennai Open,9
711,Chennai Open,9
712,Chennai Open,9
713,Chennai Open,9
714,Chennai Open,9
715,Chennai Open,9
716,Chennai Open,9
717,Chennai Open,9
718,Chennai Open,9
719,Chennai Open,9
720,Chennai Open,9
721,Chennai Open,9
722,Chennai Open,9
723,Chennai Open,9
724,Chennai Open,9
725,Chennai Open,9
726,Chennai Open,9
727,Chennai Open,9
728,Chennai Open,9
729,Chennai Open,9
730,Chennai Open,9
731,Chennai Open,9
732,Chennai Open,9
733,Chennai Open,9
734,Chennai Open,9
735,Chennai Open,9
736,Chennai Open,9
737,Chennai Open,9
738,Chennai Open,9
739,Chennai Open,9
740,Chennai Open,9
741,Chennai Open,9
742,Chennai Open,9
743,Chennai Open,9
744,Chennai Open,9
745,Chennai Open,9
746,Chennai Open,9
747,Chennai Open,9
748,Chennai Open,9
749,Chennai Open,9
750,Chennai Open,9
751,Chennai Open,9
752,Chennai Open,9
753,Chennai Open,9
754,Chennai Open,9
755,Chennai Open,9
756,Chennai Open,9
757,Chennai Open,9
758,Chennai Open,9
759,Chennai Open,9
760,Chennai Open,9
761,Chennai Open,9
762,Chennai Open,9
763,Chennai Open,9
764,Chennai Open,9
765,Chennai Open,9
766,Chennai Open,9
767,Chennai Open,9
768,Chennai Open,9
769,Chennai Open,9
770,Chennai Open,9
771,Chennai Open,9
772,Chennai Open,9
773,Chennai Open,9
774,Chennai Open,9
775,Chennai Open,9
776,Chennai Open,9
777,Chennai Open,9
778,Chennai Open,9
779,Chennai Open,9
780,Chennai Open,9
781,Chennai Open,9
782,Chennai Open,9
783,Chennai Open,9
784,Chennai Open,9
785,Chennai Open,9
786,Chennai Open,9
787,Chennai Open,9
788,Chennai Open,9
789,Chennai Open,9
790,Chennai Open,9
791,Chennai Open,9
792,Chennai Open,9
793,Chennai Open,9
794,Chennai Open,9
795,Chennai Open,9
796,Chennai Open,9
797,Chennai Open,9
798,Chennai Open,9
799,Chennai Open,9
800,Chennai Open,9
801,Chennai Open,9
802,Chennai Open,9
803,Chennai Open,9
804,Chennai Open,9
805,Chennai Open,9
806,Chennai Open,9
807,Chennai Open,9
808,Chennai Open,9
809,Chennai Open,9
810,Chennai Open,9
811,Chennai Open,9
812,Chennai Open,9
813,Chennai Open,9
814,Chennai Open,9
815,Chennai Open,9
816,Chennai Open,9
817,Chennai Open,9
818,Chennai Open,9
819,Chennai Open,9
820,Chennai Open,9
821,Chennai Open,9
822,Chennai Open,9
823,Chennai Open,9
824,Chennai Open,9
825,Chennai Open,9
826,Chennai Open,9
827,Chennai Open,9
828,Chennai Open,9
829,Chennai Open,9
830,Chennai Open,9
831,Chennai Open,9
832,Chennai Open,9
833,Chennai Open,9
834,Chennai Open,9
835,Chennai Open,9
836,Chennai Open,9
837,Chennai Open,9
838,Chennai Open,9
839,Chennai Open,9
840,Chennai Open,9
841,Chennai Open,9
842,Chennai Open,9
843,Chennai Open,9
844,Chennai Open,9
845,Chennai Open,9
846,Chennai Open,9
847,Chennai Open,9
848,Chennai Open,9
849,Chennai Open,9
850,Chennai Open,9
851,Chennai Open,9
852,Chennai Open,9
853,Chennai Open,9
854,Chennai Open,9
855,Chennai Open,9
856,Chennai Open,9
857,Chennai Open,9
858,Chennai Open,9
859,Chennai Open,9
860,Chennai Open,9
861,Chennai Open,9
862,Chennai Open,9
863,Chennai Open,9
864,Chennai Open,9
865,Chennai Open,9
866,Chennai Open,9
867,Chennai Open,9
868,Chennai Open,9
869,Chennai Open,9
870,Chennai Open,9
871,Chennai Open,9
872,Chennai Open,9
873,Chennai Open,9
874,Chennai Open,9
875,Chennai Open,9
876,Chennai Open,9
877,Chennai Open,9
878,Chennai Open,9
879,Chennai Open,9
880,Chennai Open,9
881,Chennai Open,9
882,Chennai Open,9
883,Chennai Open,9
884,Chennai Open,9
885,Chennai Open,9
886,Chennai Open,9
887,Chennai Open,9
888,Chennai Open,9
889,Chennai Open,9
890,Chennai Open,9
891,Chennai Open,9
892,Chennai Open,9
893,Chennai Open,9
894,Chennai Open,9
895,Chennai Open,9
896,Chennai Open,9
897,Chennai Open,9
898,Chennai Open,9
899,Chennai Open,9
900,Chennai Open,9
901,Chennai Open,9
902,Chennai Open,9
903,Chennai Open,9
904,Chennai Open,9
905,Chennai Open,9
906,Chennai Open,9
907,Chennai Open,9
908,Chennai Open,9
909,Chennai Open,9
910,Chennai Open,9
911,Chennai Open,9
912,Chennai Open,9
913,Chennai Open,9
914,Chennai Open,9
915,Chennai Open,9
916,Chennai Open,9
917,Chennai Open,9
918,Chennai Open,9
919,Chennai Open,9
920,Chennai Open,9
921,Chennai Open,9
922,Chennai Open,9
923,Chennai Open,9
924,Chennai Open,9
925,Chennai Open,9
926,Chennai Open,9
927,Chennai Open,9
928,Chennai Open,9
929,Chennai Open,9
930,Qatar Exxon Mobil Open,5
931,Qatar Exxon Mobil Open,5
932,Qatar Exxon Mobil Open,5
933,Qatar Exxon Mobil Open,5
934,Qatar Exxon Mobil Open,5
935,Qatar Exxon Mobil Open,5
936,Qatar Exxon Mobil Open,5
937,Qatar Exxon Mobil Open,5
938,Qatar Exxon Mobil Open,5
939,Qatar Exxon Mobil Open,5
940,Qatar Exxon Mobil Open,5
941,Qatar Exxon Mobil Open,5
942,Qatar Exxon Mobil Open,5
943,Qatar Exxon Mobil Open,5
944,Qatar Exxon Mobil Open,5
945,Qatar Exxon Mobil Open,5
946,Qatar Exxon Mobil Open,5
947,Qatar Exxon Mobil Open,5
948,Qatar Exxon Mobil Open,5
949,Qatar Exxon Mobil Open,5
950,Qatar Exxon Mobil Open,5
951,Qatar Exxon Mobil Open,5
952,Qatar Exxon Mobil Open,5
953,Qatar Exxon Mobil Open,5
954,Qatar Exxon Mobil Open,5
955,Qatar Exxon Mobil Open,5
956,Qatar Exxon Mobil Open,5
957,Qatar Exxon Mobil Open,5
958,Qatar Exxon Mobil Open,5
959,Qatar Exxon Mobil Open,5
960,Qatar Exxon Mobil Open,5
961,Qatar Exxon Mobil Open,5
962,Qatar Exxon Mobil Open,5
963,Qatar Exxon Mobil Open,5
964,Qatar Exxon Mobil Open,5
965,Qatar Exxon Mobil Open,5
966,Qatar Exxon Mobil Open,5
967,Qatar Exxon Mobil Open,5
968,Qatar Exxon Mobil Open,5
969,Qatar Exxon Mobil Open,5
970,Qatar Exxon Mobil Open,5
971,Qatar Exxon Mobil Open,5
972,Qatar Exxon Mobil Open,5
973,Qatar Exxon Mobil Open,5
974,Qatar Exxon Mobil Open,5
975,Qatar Exxon Mobil Open,5
976,Qatar Exxon Mobil Open,5
977,Qatar Exxon Mobil Open,5
978,Qatar Exxon Mobil Open,5
979,Qatar Exxon Mobil Open,5
980,Qatar Exxon Mobil Open,5
981,Qatar Exxon Mobil Open,5
982,Qatar Exxon Mobil Open,5
983,Qatar Exxon Mobil Open,5
984,Qatar Exxon Mobil Open,5
985,Qatar Exxon Mobil Open,5
986,Qatar Exxon Mobil Open,5
987,Qatar Exxon Mobil Open,5
988,Qatar Exxon Mobil Open,5
989,Qatar Exxon Mobil Open,5
990,Qatar Exxon Mobil Open,5
991,Qatar Exxon Mobil Open,5
992,ASB Classic,10
993,ASB Classic,10
994,ASB Classic,10
995,ASB Classic,10
996,ASB Classic,10
997,ASB Classic,10
998,ASB Classic,10
999,ASB Classic,10
1000,ASB Classic,10
1001,ASB Classic,10
1002,ASB Classic,10
1003,ASB Classic,10
1004,ASB Classic,10
1005,ASB Classic,10
1006,ASB Classic,10
1007,ASB Classic,10
